year,month,avg_diff
2004,11,-1.392893095
2004,12,-0.133966535
2005,1,-2.594958521
2005,2,-0.780552777
2005,3,2.093076841
2005,4,0.985824101
2005,5,-0.566599554
2005,6,-2.165311108
2005,7,0.688059897
2005,8,-0.617024466
2005,9,0.707256168
2005,10,0.246651478
2005,11,1.275137208
2005,12,-0.636752459
2006,1,0.768091333
2006,2,0.454025145
2006,3,4.485012325
2006,4,-0.13447893
2006,5,0.055163017
2006,6,-0.144705048
2006,7,2.994218255
2006,8,1.176230666
2006,9,2.589377381
2006,10,2.08330837
2006,11,2.024228117
2006,12,2.935241676
2007,1,-2.867979049
2007,2,-0.771137193
2007,3,3.408619363
2007,4,2.368854404
2007,5,0.146321374
2007,6,-0.566523229
2007,7,-1.34346503
2007,8,-0.211745873
2007,9,-0.993971252
2007,10,-1.204757577
2007,11,-1.012135519
2007,12,0.19887804
2008,1,-1.697157934
2008,2,-1.620605397
2008,3,0.138238132
2008,4,1.636430161
2008,5,0.667215065
2008,6,-1.479553532
2008,7,0.17281063
2008,8,-1.325675492
2008,9,-1.513994186
2008,10,0.009114821
2008,11,-0.057135519
2008,12,-1.221063309
2009,1,-1.404782568
2009,2,-0.476494336
2009,3,-0.317333716
2009,4,2.623854404
2009,5,-0.096948942
2009,6,-2.900008078
2009,7,-0.276456232
2009,8,-0.143124172
2009,9,0.512673076
2009,10,-2.893671102
2009,11,2.218470541
2009,12,1.734508538
2010,1,5.271903649
2010,2,2.178467314
2010,3,0.647603508
2010,4,0.618753393
2010,5,-0.941232389
2010,6,-1.837255553
2010,7,1.9446337
2010,8,-0.285279598
2010,9,-1.230231205
2010,10,-2.150489284
2010,11,-1.539711277
2010,12,6.942719682
2011,1,-0.413213653
2011,2,1.35886938
2011,3,-0.317040461
2011,4,3.762793797
2011,5,-0.117124373
2011,6,-0.537489022
2011,7,0.553455792
2011,8,-0.482273732
2011,9,1.13407435
2011,10,0.162194
2011,11,2.738622057
2011,12,0.365687811
2012,1,-1.682055295
2012,2,0.152748835
2012,3,3.407153088
2012,4,-0.535539536
2012,5,0.388447474
2012,6,-3.528953084
2012,7,-0.673670308
2012,8,-0.817757603
2012,9,-0.535049026
2012,10,-1.303470936
2012,11,1.333015996
2012,12,3.136121441
2013,1,0.60680101
2013,2,-0.591429401
2013,3,3.809645756
2013,4,-0.745539536
2013,5,1.295632225
2013,6,-1.084098987
2013,7,-0.004168842
2013,8,-0.359986342
2013,9,-1.013161675
2013,10,0.781695467
2013,11,0.981500844
2013,12,1.482098124
2014,1,-1.021600749
2014,2,-2.173815764
2014,3,3.401082706
2014,4,1.933975616
2014,5,-0.01109798
2014,6,-2.347280805
2014,7,2.081461657
2014,8,-0.687992207
2014,9,0.023619805
2014,10,1.55134356
2014,11,2.110788723
2014,12,-1.235014009
